question,choices,actual_answer,gpt_answer,predicted_answer,is_correct
按照合同法律的规定，当甲想以低价购买乙收藏的一幅古画时，乙拒不同意。然而，甲威胁，如果乙不卖画，他将公开属于乙的不雅视频。在此情况下，乙被迫与甲签订了购销合同。请问，该合同具有以下哪种效力？,"A. 无效
B. 效力待定
C. 有效
D. 可变更、可撤销",A,C,C,False
乙公司的业务员甲，多年来担任某小区订奶业务，常常在每个月的月底在小区设摊，更新奶品预定户并接收下月的订奶款。然而在2013年5月29日，甲决定从乙公司离职。在次日，也就是5月30日，甲仍像往常一样到小区设摊收取订奶款。在信息不透明的情况下，订奶户照常支付费用，甲也像之前一样提供带有乙公司公章的收据。然而事后，甲带着款项消失，无人知晓他的下落。根据民事法律体系的规划，请选择以下陈述中正确的选项（ ）。,"A. 甲的行为与乙公司无关，应由甲向订奶户承担合同履行义务
B. 甲的行为构成狭义无权代理，应由甲向订奶户承担损害赔偿责任
C. 甲的行为构成无权处分，应由乙公司向订奶户承担损害赔偿责任后，再向甲追偿
D. 甲的行为构成表见代理，应由乙公司向订奶户承担合同履行义务",D,B. 甲的行为构成狭义无权代理，应由甲向订奶户承担损害赔偿责任。,B,False
以甲和乙为例，他们签订了一份合同，规定甲方必须在2011年3月1日供应货物给乙方，乙方则需在收到货物的1个月之内全额支付货款。情况却是，甲方按合同规定供货后，乙方却并未按时付款。在这样的背景下，如果甲方一直没有向乙方提出权益要求，那么，甲方对乙方的付款请求权诉讼时效期间结束的日期是（ ）。,"A. 2012 年4 月1 日
B. 2013 年3 月1 日
C. 2012 年3 月1 日
D. 2013 年4 月1 日",D,A,A,False
物权法律制度规定，当你选择有偿方式购得居住用地的建设用地使用权时，你能获取这些权利的最长期限是多少年?,"A. 50 年
B. 60 年
C. 30 年
D. 70 年",D,B,B,False
在我国的《公司法》中，如果不按规定提取法定公积金，将会被命令补偿相应应取走的金额，罚款的量级可能是（　）。,"A. 不超过20万元的罚款
B. 超过1000元但不超过1万元的罚款
C. 超过1万元但不超过10万元的罚款
D. 超过5000元但不超过5万元的罚款",A,B,B,False
依照公司法，股东有权提出股权回购的要求。假如在预定的时间限制内，股东并未跟公司形成股权购买的共同协议，持有股权的股东有权在从股东会议获得决议批准的日期起开始的一段特定时间内，向人民法院发起诉讼。请问这个特定期限是多少日？,"A. 90日
B. 45日
C. 30日
D. 60日",A,D. 无法向人民法院发起诉讼。,D,False
甲成立了一个乙个人独资企业并且授权丙以10万元以下的决策权管理此企业。丙决定以该独资企业的名义同丁公司签订了一份零售价为15万元的商标转让合同。甲得知情况后反对此举，而后引发了纠纷。请根据个人独资企业法的相关规定，从以下选项中选择正确的描述（ ）。,"A. 如果甲未能提供给丁公司丙的授权书，则该合同由甲执行
B. 商标转让合同有效，因此丁公司有权使用该商标
C. 商标转让合同未事先获得投资者甲的批准，因此该合同无效
D. 鉴于丙的决策权只限于10万元以下的合同，此合同无效",C,C,C,True
2011年6月1日时，甲公司因经济困难，无力按时偿还其欠乙公司的500万元货款。在此之前的2010年12月1日，甲公司已决定赠送一套价值50万元的机器设备给丙公司。接着，在2011年3月1日，甲公司向丁基金会承诺捐款50万元现金。最后，在2011年12月1日，甲公司答应对戊希望学校进行价值100万元电脑的捐赠。然而，至今，这三次的赠与行为仍未实行。请根据以上情况，选择最准确的答案：,"A. 乙公司可以撤销甲公司对丁基金会的捐款承诺
B. 乙公司可以撤销甲公司对丙公司的赠与决定
C. 甲公司可以撤销对戊希望学校的捐赠答应
D. 乙公司可以撤销甲公司对戊希望学校的捐赠决定",D,B,B,False
请根据个人独资企业法律制度的条例，挑选出以下陈述中的正确选项（　　）。,"A. 个人独资企业具有法人资格
B. 个人独资企业没有独立承担民事责任的能力
C. 个人独资企业的投资人对企业债务承担有限责任
D. 个人独资企业不能以自己的名义从事民事活动",B,B,B,True
请参照合同法的相关规定，从以下对于缔约过失责任的表述中选出正确的一项（ ）。,"A. 通常情况下，缔约过失责任的赔偿总额超过违约责任
B. 缔约过失责任主要针对预期利润损失的赔偿
C. 缔约过失责任仅适用于合同的订立阶段
D. 如果一方恶意磋商导致对方受损，就可以确立他的缔约过失责任",D,"Options B and C

According to the relevant provisions of the Contract Law of China, the answer is B and C. The phrase ""缔约过失责任"" in the question refers to the liability for breach of contract, which is defined in Article 500 of the Contract Law. Specifically, if one party deliberately breaches the contract or conceals important facts or provides false information during the negotiation process, the other party may claim compensation for the losses incurred. Therefore, options B and C are the correct answers.",A,FALSE
