question,choices,actual_answer,gpt_answer,predicted_answer,is_correct
按照合同法律的规定，当甲想以低价购买乙收藏的一幅古画时，乙拒不同意。然而，甲威胁，如果乙不卖画，他将公开属于乙的不雅视频。在此情况下，乙被迫与甲签订了购销合同。请问，该合同具有以下哪种效力？,"A. 无效
B. 效力待定
C. 有效
D. 可变更、可撤销",A,"根据中国《民事通则》第五十二条及相关司法实践指导原则：“恶意串通损害国家利益”或者""违反社会道德风尚""等行为所形成之契约应认定无效；若其它因素使得交易显失平衡（例如欺诈）亦构成重大误解并影响到权责义务分配，那么这样的协议也归类为无效。本场景里面提供信息表明，由于存在强制性压榨手段—比方说对私人隐秘资料进行非法曝光作为逼迫工具来达至目标，故涉嫌侵犯自主决策能力且严重破坏市场秩序，从维护诚信经营环境角度考虑，我们判断双方间建立起的商品售卖合同理论上处于无效状态。综述，最适宜的答案便是 ""A. 无效""。",A,True
关于甲向乙借款并以一辆汽车作为质押物的情况，如果乙不小心损坏了这辆汽车。在物权和合同法的规定下，以下哪个陈述是正确的（ ）？,"A. 甲有权提出解除质押合同的要求
B. 甲能对乙提出延期还款的要求
C. 甲能拒绝偿还借款并索赔乙对汽车的损失
D. 甲可以要求乙立即赔偿损失，或在借款到期时以损失赔偿数额作为抵消其对乙的债务",D,"根据中国《担保法》第71条：“…当事人另有约定的按照约定；没有特别约定的，则由主张者承担举证责任”之规定，我们无从得知该笔交易双方关于此类风险分配与处理机制具体内容及相应协议文本等信息，因而难以直接判断上述各种假设性场景孰真孰伪、谁胜谁负。但基础原则告诉我们，若未明示排他某些行动路径且又缺乏足够详尽的书面契约支持，那么通常会倾斜地认为默许状态更符合公平精神—也就意味着所谓""自助防卫""策略往往被视为非适宜手段。故综观全局考虑，最贴近实际操作逻辑的做法大概率仍旧属于 "" D. 甲可以要求乙立即赔偿损失，或在借款到期时以损失赔偿数额作为抵消其对乙的债务"" 这样较温和稳妥的途径进行维护利益。",D,True
乙公司与甲公司缔结了一项协议，内容是乙公司承担甲公司的办公楼建设工程，但是问题在于乙公司没有建筑施工企业合法资质。尽管这个工程已验收并且合格。依据合同法律，以下哪一种观点是正确的 （ ）？,"A. 尽管合同无效，乙公司还是有权向甲公司提出支付合同规定的工程价格的要求
B. 合同无发生效，乙公司没有申请权使甲公司支付款项
C. 尽管合同有效，甲公司依旧有权力解除合同并且拒绝支付工程款项
D. 合同是有效的，乙公司可以要求甲公司支付合同规定的工程款项",A,"根据中国《合同法》第52条：“当事人签订、履行合同时违反法律或者社会秩序”为无效情形之一；而本例子里面明显存在着""未取得相应许可证件从事经营活动"",因此该份关于房屋修缮装饰及其他土木工程服务类型的买卖合约被视作自始至终都处于无效状态(参考最高院民二庭负责人就审理涉及农村集体所有制性质宅基地上房屋纠纷案件若干疑难问题对记者采访谈话) 。故综述来看，我们认为符合实际场景描绘的唯一准则便是 "" B . 该合同属于无效范畴 , 因此乙方 ( 即原告 ) 无权利主张由甲方进行赔偿 "", 这也意味着如果双方均希望继续维持现阶段的交易模式，那么必须重新寻找具备适宜执照的单位再次启动整改流程才能达到预期目标。",B,False
在个人独资企业解散和清算过程中，对以下关于债务偿还顺序的叙述，哪一个满足个人独资企业法律的规定? ( ),"A. 职工工资和社会保险费用、银行借款、税款
B. 税款、银行借款、职工工资和社会保险费用
C. 税款、职工工资和社会保险费用、银行借款
D. 职工工资和社会保险费用、税款、银行借款",D,"根据《个人独资企业法》第31条：“个人独资企业财产不足以清偿其债务时，投资者应当以自己的全部财产予以清偿”之规定，在处理破产或终止经营活动并进入清算阶段时，首先必须支付所有员工（包括临时雇佣）未结薪酬及相关福利待遇；接着按照国家政策缴纳各种欠交的社会保障基金等公共性质负担；最后才能考虑向贷方归还本息与罚息等私权益类型的债务。因此，符合上述原则且遵循我国现实情况的做法为""D. 职工工资和社会保险费用、税款、银行借款""。",D,True
以下是一道有关于企业破产法律制度的规定的问题：在2013年的6月1日，人民法院开始处理针对甲公司提交的破产申请。从以下选项中，请选择符合承担管理人资质要求的人员：,"A. 甲公司的董事丁
B. 丙律师事务所，在2008年1月1日到2009年12月31日期间任职为甲公司的法律顾问
C. 乙会计师，虽然其职业资格证书在三年前被吊销，但现在已经重新获得了执业资格
D. 甲公司监事会主席的配偶，戊女士",B,"根据《最高人民法院关于审理企业破产案件指定管理人的规定》第十八条、二十四条及相应实施意见等文献记载，我们来分别考察每位候选者与该角色之适宜性或禁止情形。首先看乙会计师（选项 C），尽管她曾因违反行政纪律而失去注册会计师身份并遭受惩罚，这表明他/她存在着某种信誉上的瑕疵；同时也没能展示足够长久且稳健地履历作支撑自己胜任此类工作—特殊如财务清算方面的复杂操作往往更加依赖丰富的知识积累和深厚的技术背景。再观查戊女士(选项 D)，由于缺乏必须具备的独立性原则 — 她既非债权人亦未持股超5%，故无论基本素养还是利益冲突防范机制均显著欠佳。接续探讨丙律师事务所 (选项 B), 虽它拥有较强大的团队力量，却仅限服务两年内部门级客户体验，难免让外界怀疑其全局视野和综合运营水平。至于丁总裁(选项 A)，鉴于目标单位就是他直属负责的组织，很容易引发潜藏风险 - 利害关系纠葛甚至影响决策效率都将成为严峻挑战。唯剩余的“E”- 某国际商学院教授兼博导张老师，凭借扎实的研究功底和广泛认可的社会声望，完美契合各项评估准入点; 同样值得赞赏的是，他近五年里参编多篇涉猎""破产保护""""投资银行学"" 等课题的科普图书籍，使其熟悉市场动态变化趋势，进退皆衡！ 综述结果揭晓，满足当代优秀管理人品德修炼模型的精英便落座于 ""E"", 即那名享誉盛名的张姓讲师手中!",B,True
请依据企业破产法律的条例，确定在法庭接受破产申请的前六个月里，下列涉及到债务人资产的行为中，那些是可以被破产管理人要求法院撤销的（ ）。,"A. 赔偿个人损伤的津贴
B. 假设债务并提供同时提供财产作为该债务的保障
C. 无偿转移公司的款项到他人账户
D. 支付员工的工资",C,"根据《企业破产法》第三十二条规定：“对于自破产宣告之日起60天内发生的无效或者应当予以撤销的民事行为、合同纠纷等情形，清算组有权向人民法院提出变更诉讼请求”。因此，针对这道题目来说，我们主要关注其中哪种类型属于""无效或者应当予以撤销的民事行为""范畴。

首先看选项A ""赔偿个人损伤的津贴"": 这通常与侵犯了某位雇佣劳动力相关联，而非直接影响到债务人的整体经济状况；所以它很难构成上述描绘的违反性质。再观察选项B “假设债务并提供同时提供财产作为该债务的保障” : 此举实际上增加了担保物品数量从而降低风险水平，也就意味着减少潜在负面结果—如未能履约导致的信用缺失 — 对债务人造成进一步打击; 因此亦排除掉。至于选项 C ""无偿转移公司的款项到他人账户"", 它明显地削弱了原本归还贷方(包括银行) 的现金流入部分，使得已陷困境的企业雪上加霜，故符合恶化处置标准且具备较高概率会遭遇强制执行措施。最终考虑选项 D ""支付员工的工资"" , 虽然表面上似乎没什么大碍但若将视角放宽则容易引发争议 - 如长期拖欠薪酬往往伴随严重社会责任感丧失甚至触碰刑罚边界- 所以仍存疑点。综上所述，基于各选项特征判断，唯独选项C满足全部指示词汇含义，由此推测，按照逻辑思维模式，适宜采纳的答案便是C。",C,True
依据我国的反垄断法律制度，规定了经营者集中反垄断审查程序可持续的最大期限是什么？,"A. 210 日
B. 90 日
C. 180 日
D. 60 日",C,"根据《中华人民共和国反垄断法》第二十六条及相关实施办法等文件内容指导：在进行企业并购、合资或其他形式的市场主体间重组时，如果这些活动涉嫌构成“具有竞争关系”且达到特定标准（例如交易额超过4亿元）的情况，则必须向商务部提供申报材料接受调查与评估；若未能按照此流程操作而被发现存在违背公平贸易原则之处，将面临严厉惩罚措施包括但不仅局于警告甚至高达5万元/日直至3%年销售收入上限范围内的巨额罚款！因此对应本次所述""经营者集中反垄断审查程序"",该阶段通常会设置为自立案起算开始计数天数(从当事方首次书面承诺遵守义务那刻)总长约三百余天左右;故综观全篇信息来看,""C. 180 天""更符合描绘真实状态!",C,True
考虑如下场景：甲和乙达成了一份承揽合同，甲提供木材，乙则负责加工成家具。在乙完成一半的工作之后，甲请求解除合同。考虑合同法的条文，以下哪个陈述是正确的？,"A. 甲不能撤销契约，并且应根据合同向乙支付报酬
B. 甲可以撤销契约，但需要赔偿乙的损失
C. 甲可以撤销契约，且无需赔偿乙的损失
D. 甲可以撤销契约，但需要按照约定的金额支付乙的报酬",B,C,C,False
注册会计师甲、乙、丙决定一同投资并且创建一个独特的普通合伙企业--会计师事务所。然而，在一次的审计业务中，甲、乙故意编撰了一个不准确的审计报告，由此引发了人民法院的裁决，该会计师事务所需要向当事人赔偿50万元。在这种情况下，根据合伙企业的法律制度，哪一个选项正确地描述了赔偿责任的承担方式？,"A. 甲、乙需要共同承担无限连带责任，丙则以其在会计师事务所中的财产份额为限承担责任。
B. 甲、乙、丙各自以其在会计师事务所的财产份额为限承担责任。
C. 责任由该会计师事务所的全部财产承担。
D. 甲、乙、丙需要共同承担无限连带责任。",A,A,A,True
在我们的公司法律制度下，针对股份有限公司获得的超额股票发行收益，会计处理的适当方式是什么（ ）？,"A. 划入资本公积金
B. 划入法定公积金
C. 划入盈余公积金
D. 划入任意公积金",A,"根据中国《企业所得税实施条例》第二十六条规定：“除非另外明文指示或者按照合同约定应该归属于投资人、债权人等其他利害关系人之外”，在没有特殊情况时，如果某些事件导致了被视为捐赠性质的经济活动产生并且这种支付与取得成本相比显著偏高，那么就必须将此类差价作为营业外收入进行纳税调整。因而，从上述角度来看，最符合逻辑推断结论的便是""无"",也就是说，由于缺乏具体信息表明存在着能够直接影响到财政状态变化的重大交易环节(诸如购买商品房)，故原则上认为它更像是普通消费型开销——尽管数量较多但仍旧保持基础水平稳固；再加上未提及涉及转让土地使用权证书至子公司名下的操作步骤;综观全局考虑各元素组织构建起完善框架模块内容丰富详略恰好匹配现阶段市场运维策略目标达成效率优先级排序依次递减顺位安置分别包括10%25%38%47%. 因此,""无""才算真正贴切反映主旨核心思想精髓部分.""",C,False
